genres	avg. votes	avg. rating	avg. runtime
Adventure,Crime,History	1250	6.2	91.0
Adventure,Crime,Horror	1218	5.1	93.0
Adventure,Crime,Musical	35	6.3	100.0
Adventure,Crime,Mystery	456	5.9	81.0
Adventure,Crime,Romance	191	5.6	86.0
Adventure,Crime,Sci-Fi	140	4.9	118.0
Adventure,Crime,Sport	548	4.7	87.0
Adventure,Crime,Thriller	1851	5.6	89.0
Adventure,Crime,War	17	6.0	90.0
Adventure,Crime,Western	32	5.4	83.0
Adventure,Documentary	342	7.4	74.0
Adventure,Documentary,Drama	410	7.2	80.0
Adventure,Documentary,Family	191	7.4	77.0
Adventure,Documentary,Fantasy	78	7.1	85.0
Adventure,Documentary,History	149	7.3	74.0
Adventure,Documentary,Horror	158	6.5	77.0
Adventure,Documentary,Music	26	7.5	74.0
Adventure,Documentary,Mystery	96	7.3	80.0
Adventure,Documentary,News	461	7.3	75.0
Adventure,Documentary,Reality-TV	29	6.1	84.0
Adventure,Documentary,Romance	218	7.0	87.0
Adventure,Documentary,Sci-Fi	436	5.9	42.0
Adventure,Documentary,Sport	1915	7.6	75.0
Adventure,Documentary,Thriller	13	5.6	61.0
Adventure,Documentary,War	43	7.6	84.0
Adventure,Documentary,Western	565	7.0	80.0
Adventure,Drama	1937	6.0	92.0
Adventure,Drama,Family	5723	6.3	93.0
Adventure,Drama,Fantasy	17169	6.2	107.0
Adventure,Drama,Film-Noir	3080	6.4	86.0
Adventure,Drama,History	4274	6.1	110.0
Adventure,Drama,Horror	10426	5.3	89.0
Adventure,Drama,Music	307	5.8	87.0
Adventure,Drama,Musical	135	5.8	99.0
Adventure,Drama,Mystery	8158	6.0	95.0
Adventure,Drama,Romance	4825	5.9	94.0
Adventure,Drama,Sci-Fi	56649	5.8	99.0
Adventure,Drama,Sport	7410	6.4	97.0
Adventure,Drama,Thriller	11288	6.1	99.0
Adventure,Drama,War	18331	6.4	99.0
Adventure,Drama,Western	12613	6.1	93.0
Adventure,Family	374	6.0	86.0
Adventure,Family,Fantasy	30117	5.8	95.0
Adventure,Family,History	650	6.4	101.0
Adventure,Family,Horror	45	5.2	84.0
Adventure,Family,Music	344	6.4	88.0
Adventure,Family,Musical	2369	5.5	98.0
Adventure,Family,Mystery	484	5.9	94.0
Adventure,Family,Romance	1076	5.9	87.0
Adventure,Family,Sci-Fi	9266	5.3	90.0
Adventure,Family,Sport	2892	6.5	97.0
Adventure,Family,Thriller	169	5.3	98.0
Adventure,Family,War	429	6.0	87.0
Adventure,Family,Western	444	5.6	90.0
Adventure,Fantasy	7277	5.4	96.0
Adventure,Fantasy,History	850	5.8	95.0
Adventure,Fantasy,Horror	2995	5.0	90.0
Adventure,Fantasy,Music	7	8.3	78.0
Adventure,Fantasy,Musical	192	6.5	104.0
Adventure,Fantasy,Mystery	1678	6.1	100.0
Adventure,Fantasy,Romance	2903	5.9	92.0
Adventure,Fantasy,Sci-Fi	1678	5.4	91.0
Adventure,Fantasy,Thriller	886	5.5	101.0
